StudNo,Description,Action,DateFiled,DateResolved
2017-20880,Residency,Lapsed,2014-10-06,2016-10-06
2017-20394,Change of Adviser,Resolved,2014-09-28,2017-02-09
2017-20570,Residency,Unresolved,2014-10-04,2016-01-18
2017-20548,Completion,Unresolved,2015-06-25,2017-05-18
2017-20205,Change of Plan of Study,Unresolved,2014-01-07,2017-11-02
2017-20739,Residency,Unresolved,2015-01-21,2017-02-07
2017-20517,Completion,Resolved,2014-12-21,2016-12-02
2017-20716,Residency,Unresolved,2014-08-11,2016-09-17
2017-20484,Residency,Unresolved,2015-02-07,2016-05-25
2017-20040,Residency,Lapsed,2015-03-11,2017-02-14
2017-20478,LOA,Resolved,2014-08-28,2017-03-13
2017-20553,Change of Plan of Study,Lapsed,2014-11-28,2017-10-05
2017-20034,LOA,Unresolved,2015-01-12,2016-03-25
2017-20083,Residency,Unresolved,2015-08-12,2016-07-21
2017-20150,AWOL,Lapsed,2014-07-06,2017-06-19
2017-20441,Change of Plan of Study,Unresolved,2014-06-28,2017-03-20
2017-20391,Completion,Unresolved,2014-06-22,2016-12-24
2017-20192,LOA,Lapsed,2014-08-13,2016-04-19
2017-20658,Completion,Resolved,2015-06-19,2016-12-31
2017-20844,Change of Plan of Study,Unresolved,2014-11-28,2017-01-29
2017-20251,LOA,Lapsed,2014-05-18,2017-06-19
2017-20006,Change of Adviser,Lapsed,2015-08-20,2017-03-06
2017-20015,Change of Plan of Study,Unresolved,2015-04-29,2016-07-06
2017-20044,LOA,Lapsed,2015-03-12,2016-07-27
2017-20542,Residency,Resolved,2015-04-22,2017-02-27
2017-20338,AWOL,Resolved,2014-11-28,2016-05-13
2017-20187,AWOL,Unresolved,2014-01-17,2016-07-10
2017-20538,Change of Adviser,Resolved,2014-04-30,2017-04-29
2017-20761,LOA,Resolved,2015-02-01,2017-02-11
2017-20814,LOA,Lapsed,2014-04-02,2017-10-23
2017-20361,LOA,Unresolved,2015-07-08,2016-10-31
2017-20876,Change of Adviser,Unresolved,2015-07-01,2016-06-12
2017-20500,AWOL,Unresolved,2015-09-29,2017-08-23
2017-20186,Change of Adviser,Unresolved,2014-10-29,2017-06-11
2017-20570,Change of Adviser,Resolved,2015-09-08,2016-03-22
2017-20934,Change of Adviser,Resolved,2014-04-02,2017-05-11
2017-20601,Change of Plan of Study,Lapsed,2015-03-13,2017-03-13
2017-20563,Residency,Resolved,2015-06-10,2016-05-01
2017-20629,AWOL,Resolved,2014-06-02,2017-02-22
2017-20312,Change of Plan of Study,Unresolved,2015-02-16,2017-03-25
2017-20099,Residency,Resolved,2014-07-14,2016-03-12
2017-20634,Completion,Lapsed,2014-02-23,2016-06-26
2017-20288,Completion,Unresolved,2014-05-27,2017-10-18
2017-20831,LOA,Resolved,2014-06-21,2016-10-19
2017-20475,Change of Plan of Study,Lapsed,2015-08-11,2017-09-11
2017-20261,Change of Adviser,Unresolved,2015-07-29,2016-12-17
2017-20623,Change of Plan of Study,Lapsed,2015-09-10,2017-11-06
2017-20332,Change of Plan of Study,Lapsed,2015-08-30,2016-02-02
2017-20805,LOA,Resolved,2014-07-28,2016-05-02
2017-20735,LOA,Resolved,2015-10-20,2017-06-24
2017-20989,Change of Plan of Study,Resolved,2015-08-07,2017-07-05
2017-20649,LOA,Unresolved,2015-07-30,2016-11-23
2017-20932,AWOL,Lapsed,2015-01-20,2017-07-07
2017-20278,Change of Adviser,Resolved,2014-11-04,2016-07-03
2017-20923,Change of Plan of Study,Resolved,2014-06-11,2016-11-20
2017-20903,Completion,Resolved,2015-06-04,2016-09-09
2017-20893,Completion,Resolved,2014-09-26,2017-08-22
2017-20525,AWOL,Resolved,2014-05-29,2017-07-31
2017-20503,Change of Adviser,Lapsed,2015-08-25,2016-11-05
2017-20740,Change of Plan of Study,Resolved,2015-07-13,2016-12-22
2017-20541,AWOL,Unresolved,2014-12-09,2016-12-08
2017-20062,Completion,Lapsed,2015-08-25,2016-04-21
2017-20552,AWOL,Unresolved,2014-06-03,2016-07-23
2017-20698,Residency,Resolved,2014-06-26,2016-11-21
2017-20387,Change of Adviser,Resolved,2015-06-08,2016-01-22
2017-20953,Completion,Lapsed,2015-09-03,2016-01-29
2017-20311,Change of Adviser,Resolved,2015-02-21,2016-01-13
2017-20841,Residency,Unresolved,2015-05-03,2016-02-06
2017-20540,Residency,Unresolved,2015-01-09,2017-03-03
2017-20044,Change of Plan of Study,Resolved,2014-01-27,2017-07-04
2017-20345,Residency,Resolved,2015-05-22,2017-10-31
2017-20812,Completion,Resolved,2015-04-13,2016-12-24
2017-20776,AWOL,Lapsed,2014-08-04,2016-03-31
2017-20019,AWOL,Lapsed,2014-11-30,2017-10-09
2017-20843,AWOL,Lapsed,2014-04-28,2017-09-29
2017-20624,Residency,Lapsed,2014-01-21,2016-04-19
2017-20610,Residency,Lapsed,2015-08-18,2016-11-09
2017-20642,Completion,Unresolved,2014-09-21,2017-11-06
2017-20217,Change of Adviser,Resolved,2015-05-27,2016-11-22
2017-20985,Change of Plan of Study,Unresolved,2015-02-12,2017-01-10
2017-20599,Completion,Unresolved,2014-02-01,2016-12-30
2017-20412,AWOL,Lapsed,2015-07-19,2016-09-21
2017-20278,Change of Adviser,Lapsed,2014-07-22,2016-07-22
2017-20328,Residency,Resolved,2015-03-24,2016-05-17
2017-20581,Change of Plan of Study,Resolved,2015-10-29,2017-08-13
2017-20597,LOA,Resolved,2015-01-03,2016-10-18
2017-20854,Change of Plan of Study,Resolved,2014-05-10,2016-07-29
2017-20466,AWOL,Unresolved,2014-04-01,2017-07-19
2017-20323,LOA,Lapsed,2014-10-13,2016-07-12
2017-20871,Residency,Lapsed,2014-07-12,2017-01-05
2017-20372,LOA,Unresolved,2015-10-30,2016-04-04
2017-20032,AWOL,Resolved,2015-06-03,2017-05-26
2017-20243,AWOL,Unresolved,2015-07-14,2016-10-05
2017-20667,LOA,Lapsed,2014-03-23,2017-07-17
2017-20406,Change of Adviser,Unresolved,2015-08-15,2016-06-13
2017-20561,LOA,Unresolved,2015-09-16,2017-04-16
2017-20906,Residency,Resolved,2014-12-09,2016-09-18
2017-20979,Residency,Resolved,2014-10-17,2016-02-08
2017-20204,LOA,Resolved,2015-05-26,2016-08-30
2017-20369,Change of Adviser,Resolved,2015-07-12,2016-09-06
2017-20676,Change of Plan of Study,Resolved,2015-08-03,2016-09-14
2017-20850,Completion,Lapsed,2014-10-05,2016-07-23
2017-20222,LOA,Unresolved,2015-04-08,2016-02-09
2017-20678,AWOL,Unresolved,2014-05-03,2016-05-14
2017-20669,Residency,Resolved,2014-01-27,2016-02-23
2017-21000,LOA,Resolved,2014-11-12,2017-02-02
2017-20658,Change of Plan of Study,Resolved,2015-07-16,2017-09-07
2017-20080,LOA,Unresolved,2015-04-28,2016-01-14
2017-20791,Change of Adviser,Unresolved,2014-02-01,2016-06-16
2017-20294,Completion,Resolved,2015-04-06,2016-10-29
2017-20860,Change of Plan of Study,Unresolved,2015-05-06,2017-06-13
2017-20220,AWOL,Resolved,2015-01-13,2016-05-01
2017-20987,LOA,Resolved,2015-07-16,2016-08-10
2017-20999,LOA,Lapsed,2015-01-29,2017-01-28
2017-20570,Residency,Unresolved,2015-02-06,2016-07-23
2017-20214,Change of Plan of Study,Unresolved,2015-05-01,2017-06-24
2017-20442,Change of Plan of Study,Unresolved,2014-04-29,2017-04-30
2017-20018,Change of Adviser,Lapsed,2014-07-18,2016-05-25
2017-20796,LOA,Unresolved,2015-06-08,2017-02-02
2017-20163,Residency,Unresolved,2014-11-06,2016-01-21
2017-20081,AWOL,Resolved,2014-12-20,2017-11-05
2017-20048,AWOL,Resolved,2015-10-10,2017-02-10
2017-20446,Residency,Lapsed,2015-05-16,2017-02-22
2017-20655,LOA,Unresolved,2015-03-15,2017-05-07
2017-20193,Residency,Resolved,2014-09-17,2016-01-05
2017-20713,AWOL,Lapsed,2014-12-03,2017-03-14
2017-20266,Change of Adviser,Lapsed,2015-05-24,2017-11-04
2017-20284,Change of Adviser,Lapsed,2015-04-19,2017-02-21
2017-20338,Change of Adviser,Unresolved,2014-05-08,2016-12-19
2017-20086,LOA,Lapsed,2015-08-02,2017-07-25
2017-20470,AWOL,Lapsed,2014-10-18,2016-03-02
2017-20757,Residency,Lapsed,2015-10-01,2016-05-15
2017-20324,AWOL,Lapsed,2015-08-10,2017-04-06
2017-20458,Residency,Lapsed,2015-04-15,2016-04-13
2017-20506,Completion,Resolved,2014-09-13,2017-05-11
2017-20265,Completion,Lapsed,2015-06-28,2017-03-27
2017-20933,Residency,Unresolved,2015-09-26,2017-01-14
2017-20177,Completion,Unresolved,2014-04-27,2017-02-02
2017-20785,Change of Plan of Study,Lapsed,2014-08-31,2017-05-22
2017-20905,Residency,Resolved,2015-08-13,2017-10-03
2017-20615,Completion,Unresolved,2014-09-10,2017-04-16
2017-20650,Residency,Resolved,2015-07-24,2016-12-06
2017-20198,Change of Plan of Study,Lapsed,2014-04-23,2017-01-31
2017-20637,Completion,Unresolved,2014-06-27,2016-05-06
2017-20984,LOA,Resolved,2015-02-08,2016-05-01
2017-20328,Completion,Resolved,2014-10-05,2017-06-14
2017-20882,Residency,Unresolved,2014-11-14,2017-09-05
2017-20849,Completion,Resolved,2015-05-06,2016-05-22
2017-20050,Change of Plan of Study,Lapsed,2015-10-23,2016-05-01
2017-20480,Completion,Resolved,2015-04-14,2016-08-13
2017-20694,LOA,Resolved,2014-12-11,2016-05-21
2017-20913,Residency,Lapsed,2014-06-28,2016-09-30
2017-20758,Change of Adviser,Unresolved,2015-10-20,2017-08-25
2017-20340,Change of Adviser,Resolved,2015-07-19,2016-09-11
2017-20570,Change of Adviser,Resolved,2014-09-11,2016-09-01
2017-20431,Completion,Resolved,2014-06-07,2017-02-21
2017-20706,Change of Adviser,Unresolved,2015-08-16,2016-06-20
2017-20818,Residency,Unresolved,2015-05-31,2017-07-24
2017-20689,AWOL,Resolved,2015-04-16,2017-06-24
2017-20715,Residency,Unresolved,2014-02-12,2016-03-08
2017-20223,Residency,Lapsed,2015-04-08,2017-10-08
2017-20735,Completion,Resolved,2014-09-28,2016-03-20
2017-20465,AWOL,Unresolved,2014-03-19,2016-06-27
2017-20765,AWOL,Resolved,2015-07-18,2016-05-07
2017-20235,Change of Adviser,Resolved,2014-02-02,2016-12-31
2017-20184,Change of Adviser,Unresolved,2015-05-21,2017-04-16
2017-20865,Change of Adviser,Resolved,2015-10-19,2017-06-29
2017-20871,Change of Plan of Study,Unresolved,2014-10-28,2017-05-14
2017-20281,Residency,Resolved,2015-04-09,2017-01-05
2017-20926,AWOL,Lapsed,2015-10-29,2017-01-23
2017-20754,AWOL,Resolved,2015-10-20,2017-02-18
2017-20485,AWOL,Resolved,2014-08-26,2016-10-02
2017-20947,Change of Adviser,Resolved,2015-04-03,2016-09-07
2017-20373,AWOL,Lapsed,2014-02-08,2016-07-17
2017-20144,Completion,Lapsed,2014-06-09,2017-06-18
2017-20636,LOA,Lapsed,2014-02-06,2016-11-23
2017-20312,LOA,Lapsed,2014-02-02,2016-11-04
2017-20520,AWOL,Lapsed,2014-09-24,2017-04-14
2017-20050,Change of Plan of Study,Unresolved,2015-10-12,2016-01-15
2017-20236,Change of Plan of Study,Unresolved,2015-02-18,2016-12-09
2017-20646,Completion,Lapsed,2014-01-06,2017-07-11
2017-20774,Residency,Unresolved,2014-11-21,2016-03-08
2017-20456,Completion,Lapsed,2015-02-23,2017-02-01
2017-20053,Change of Plan of Study,Lapsed,2015-02-03,2017-09-18
2017-20887,LOA,Unresolved,2015-04-24,2016-09-22
2017-20130,Completion,Unresolved,2015-11-07,2017-04-09
2017-20322,LOA,Lapsed,2015-08-21,2016-06-13
2017-20290,Change of Plan of Study,Unresolved,2014-03-21,2016-03-19
2017-20745,LOA,Lapsed,2014-07-06,2017-04-14
2017-20699,Change of Plan of Study,Unresolved,2015-09-17,2016-09-08
2017-20201,Change of Plan of Study,Lapsed,2014-07-15,2017-09-25
2017-20016,Residency,Unresolved,2014-03-19,2017-10-13
2017-20413,Change of Plan of Study,Resolved,2014-04-28,2017-11-05
2017-20452,Change of Adviser,Resolved,2014-11-09,2017-05-04
2017-20718,Completion,Unresolved,2014-04-26,2017-09-15
2017-20042,Change of Plan of Study,Unresolved,2014-08-29,2016-10-23
2017-20329,Change of Plan of Study,Resolved,2014-07-20,2016-04-18
2017-20235,Change of Plan of Study,Lapsed,2014-01-18,2016-06-18
2017-20946,LOA,Unresolved,2015-10-27,2016-10-26
2017-20455,Change of Adviser,Unresolved,2015-10-01,2017-09-02
2017-20973,LOA,Lapsed,2014-03-02,2017-03-15
2017-20938,AWOL,Lapsed,2015-09-24,2017-02-12
2017-20172,LOA,Resolved,2015-11-04,2016-07-25
2017-20304,Residency,Resolved,2014-09-22,2016-07-08
2017-20655,AWOL,Lapsed,2015-04-12,2016-08-25
2017-20502,LOA,Unresolved,2014-10-27,2016-02-25
2017-20133,Residency,Unresolved,2014-03-24,2017-09-04
2017-20474,AWOL,Lapsed,2015-02-20,2016-09-28
2017-20820,Change of Adviser,Resolved,2015-08-21,2017-02-16
2017-20814,Residency,Lapsed,2014-03-01,2017-08-03
2017-20249,LOA,Lapsed,2014-10-21,2016-07-09
2017-20376,Completion,Resolved,2014-05-13,2017-05-12
2017-20395,Residency,Resolved,2015-06-29,2017-02-15
2017-20138,Change of Plan of Study,Resolved,2014-10-02,2017-06-13
2017-20805,Residency,Lapsed,2014-06-02,2017-01-20
2017-20756,Residency,Resolved,2015-09-22,2017-04-08
2017-20487,Completion,Unresolved,2014-02-13,2016-11-22
2017-20411,Completion,Lapsed,2015-05-08,2016-04-10
2017-20900,LOA,Lapsed,2015-04-27,2017-06-30
2017-20187,LOA,Unresolved,2014-01-25,2017-06-13
2017-20393,AWOL,Resolved,2014-02-09,2017-09-28
2017-20958,LOA,Unresolved,2014-02-09,2017-05-24
2017-20595,Change of Plan of Study,Lapsed,2014-12-13,2016-12-09
2017-20213,Change of Plan of Study,Unresolved,2014-09-09,2016-10-15
2017-20025,AWOL,Unresolved,2015-10-19,2016-03-23
2017-20786,LOA,Resolved,2014-05-02,2017-10-24
2017-20342,Completion,Unresolved,2014-04-11,2017-07-22
2017-20017,Change of Plan of Study,Unresolved,2014-07-08,2017-09-06
2017-20047,AWOL,Resolved,2014-10-23,2016-11-28
2017-20881,LOA,Unresolved,2015-05-01,2016-09-17
2017-20808,Change of Plan of Study,Lapsed,2015-02-06,2016-07-09
2017-20310,Change of Adviser,Lapsed,2015-11-10,2017-07-31
2017-20289,LOA,Lapsed,2015-02-09,2017-10-25
2017-20926,LOA,Lapsed,2014-03-10,2016-09-25
2017-20835,Change of Plan of Study,Lapsed,2015-06-14,2017-09-26
2017-20250,Residency,Unresolved,2014-09-06,2016-12-26
2017-20176,Completion,Unresolved,2014-11-25,2017-10-09
2017-20322,LOA,Lapsed,2015-03-04,2016-09-18
2017-20591,LOA,Unresolved,2014-11-13,2017-10-28
2017-20470,Residency,Resolved,2014-02-20,2017-09-10
2017-20506,Change of Adviser,Lapsed,2014-04-17,2017-10-08
2017-20713,Completion,Lapsed,2014-01-29,2016-09-09
2017-20640,AWOL,Unresolved,2014-08-20,2016-10-23
2017-20501,Completion,Resolved,2015-10-25,2017-04-08
2017-20901,Change of Adviser,Resolved,2015-03-17,2017-05-08
2017-20594,Completion,Unresolved,2015-09-27,2017-01-24
2017-20934,Change of Adviser,Lapsed,2014-05-14,2017-07-07
2017-20036,AWOL,Unresolved,2015-03-08,2017-03-16
2017-20945,Completion,Resolved,2015-03-18,2017-07-07
2017-20598,Change of Adviser,Unresolved,2014-10-17,2016-07-03
2017-20608,LOA,Lapsed,2014-03-31,2016-10-27
2017-20436,Residency,Unresolved,2014-06-06,2017-07-20
2017-20755,AWOL,Lapsed,2014-10-22,2017-10-23
2017-20960,LOA,Lapsed,2015-06-09,2016-09-28
2017-20739,LOA,Lapsed,2015-11-11,2016-12-12
2017-20679,Change of Plan of Study,Lapsed,2015-09-18,2017-06-19
2017-20205,Completion,Lapsed,2014-07-15,2017-10-16
2017-20584,Residency,Resolved,2014-10-03,2017-03-07
2017-20311,Change of Adviser,Resolved,2014-11-28,2017-10-06
2017-20912,AWOL,Resolved,2015-04-29,2016-03-29
2017-20457,LOA,Lapsed,2015-09-29,2016-04-14
2017-20333,AWOL,Unresolved,2014-09-01,2017-10-23
2017-20821,AWOL,Unresolved,2015-07-18,2017-04-29
2017-20487,Completion,Resolved,2015-11-06,2017-09-28
2017-20300,AWOL,Lapsed,2014-05-07,2016-01-24
2017-20646,AWOL,Lapsed,2015-09-04,2016-06-16
2017-20646,Change of Plan of Study,Resolved,2014-10-07,2016-02-02
2017-20652,AWOL,Resolved,2014-03-26,2017-02-07
2017-20427,Change of Plan of Study,Lapsed,2014-01-26,2016-11-04
2017-20847,LOA,Resolved,2014-08-20,2017-10-12
2017-20647,Residency,Resolved,2014-07-08,2017-10-03
2017-20720,Completion,Unresolved,2014-12-07,2017-04-29
2017-20842,Change of Adviser,Lapsed,2014-01-05,2017-07-27
2017-20319,Change of Plan of Study,Unresolved,2015-02-18,2017-04-07
2017-20391,Change of Adviser,Resolved,2014-08-11,2017-06-19
2017-20038,Change of Adviser,Resolved,2014-04-15,2017-01-22
2017-20149,Change of Adviser,Unresolved,2014-03-15,2017-03-22
2017-20484,AWOL,Unresolved,2014-01-10,2016-01-03
2017-20667,Residency,Unresolved,2014-01-11,2017-07-02
2017-20802,Completion,Lapsed,2015-10-12,2016-12-23
2017-20799,Completion,Unresolved,2014-12-26,2016-06-08
2017-20522,Change of Adviser,Resolved,2015-11-01,2016-05-24
2017-20820,Completion,Unresolved,2015-05-07,2016-02-12
2017-20300,AWOL,Unresolved,2015-11-01,2017-05-20
2017-20441,Change of Adviser,Unresolved,2015-11-14,2017-03-14
2017-20630,Residency,Lapsed,2014-08-04,2016-01-28
2017-20568,Completion,Resolved,2014-02-16,2017-07-03
2017-20326,LOA,Lapsed,2014-06-07,2017-10-31
2017-20872,Change of Adviser,Unresolved,2015-10-08,2017-04-08
2017-20165,Change of Adviser,Lapsed,2014-12-01,2016-11-03
2017-20031,Change of Adviser,Unresolved,2015-06-18,2017-06-30
2017-20240,Change of Adviser,Unresolved,2014-12-04,2017-06-02
2017-20917,Completion,Unresolved,2015-05-02,2016-03-07
2017-20316,LOA,Unresolved,2015-04-20,2017-05-25
2017-20011,Residency,Lapsed,2014-04-23,2017-03-05
2017-20417,Change of Adviser,Resolved,2015-03-14,2017-06-10
2017-20934,Completion,Resolved,2015-06-01,2017-10-13
2017-20182,Change of Adviser,Lapsed,2015-09-16,2016-08-10
2017-20755,Change of Adviser,Resolved,2014-11-27,2016-03-31
2017-20849,LOA,Unresolved,2014-08-24,2016-01-20
2017-20832,Residency,Unresolved,2014-08-07,2017-05-10
2017-20895,LOA,Unresolved,2015-04-26,2016-12-04
2017-20685,LOA,Lapsed,2015-04-18,2016-04-14
2017-20675,Change of Plan of Study,Lapsed,2014-09-23,2017-07-12
2017-20193,Completion,Lapsed,2014-10-19,2016-09-01
2017-20147,Completion,Lapsed,2015-01-31,2016-04-27
2017-20711,Residency,Lapsed,2014-12-16,2017-04-14
2017-20394,Residency,Lapsed,2014-02-28,2017-09-20
2017-20050,AWOL,Unresolved,2014-05-31,2016-07-11
2017-20687,Residency,Unresolved,2015-09-09,2017-02-05
2017-20257,Completion,Resolved,2015-04-26,2016-06-28
2017-20598,Residency,Lapsed,2015-03-16,2017-05-10
2017-20580,AWOL,Unresolved,2014-08-27,2017-02-23
2017-20730,AWOL,Unresolved,2015-03-02,2017-04-30
2017-20100,LOA,Unresolved,2014-05-16,2016-03-31
2017-20498,Change of Plan of Study,Unresolved,2014-11-05,2016-12-16
2017-20628,Change of Adviser,Resolved,2014-02-07,2016-01-15
2017-20299,Residency,Lapsed,2014-03-15,2016-06-14
2017-20381,Completion,Unresolved,2015-02-25,2016-11-10
2017-20830,Residency,Resolved,2015-09-06,2016-03-03
2017-20486,Change of Adviser,Unresolved,2014-03-24,2016-02-26
2017-20171,LOA,Resolved,2014-04-13,2017-01-02
2017-20379,Residency,Resolved,2015-04-23,2017-03-17
2017-20557,Change of Plan of Study,Lapsed,2015-09-06,2016-12-31
2017-20772,LOA,Unresolved,2014-03-04,2016-11-21
2017-20425,Change of Plan of Study,Resolved,2015-01-30,2016-07-15
2017-20482,Change of Plan of Study,Lapsed,2015-01-09,2016-11-15
2017-20485,LOA,Lapsed,2014-12-23,2017-02-07
2017-20671,Completion,Unresolved,2015-09-21,2017-07-23
2017-20017,Completion,Resolved,2015-10-07,2017-05-06
2017-20183,Change of Plan of Study,Resolved,2015-03-17,2017-06-14
2017-20191,Change of Adviser,Resolved,2015-06-28,2017-03-04
2017-20421,LOA,Lapsed,2014-10-03,2017-10-18
2017-20956,Change of Adviser,Lapsed,2015-08-27,2017-05-08
2017-20350,Change of Adviser,Unresolved,2014-11-07,2017-02-05
2017-20486,AWOL,Unresolved,2014-09-30,2017-09-28
2017-20548,AWOL,Resolved,2014-06-18,2016-03-24
2017-20531,Change of Adviser,Lapsed,2014-03-21,2016-03-24
2017-20911,LOA,Unresolved,2014-11-25,2017-01-09
2017-20791,Change of Adviser,Unresolved,2015-04-30,2016-12-13
2017-20215,AWOL,Lapsed,2015-03-13,2017-10-26
2017-20072,Change of Adviser,Resolved,2014-07-26,2017-10-22
2017-20694,LOA,Resolved,2014-03-28,2017-06-15
2017-20898,Change of Plan of Study,Unresolved,2015-04-15,2016-02-17
2017-20665,Change of Adviser,Resolved,2015-09-05,2017-05-20
2017-20643,Change of Plan of Study,Resolved,2014-09-21,2016-02-14
2017-20637,Change of Plan of Study,Unresolved,2014-02-14,2016-07-06
2017-20400,Change of Plan of Study,Resolved,2014-08-30,2016-01-29
2017-20173,Change of Adviser,Lapsed,2014-03-20,2016-09-05
2017-20442,Change of Adviser,Resolved,2014-10-08,2017-09-23
2017-20794,AWOL,Unresolved,2015-07-12,2017-04-10
2017-20050,AWOL,Unresolved,2015-03-31,2016-07-25
2017-20017,LOA,Unresolved,2014-04-27,2016-03-26
2017-20595,Completion,Resolved,2015-02-10,2016-03-15
2017-20537,Residency,Lapsed,2014-03-10,2017-10-08
2017-20761,Change of Adviser,Unresolved,2014-02-21,2016-02-02
2017-20107,LOA,Resolved,2015-08-04,2017-03-28
2017-20286,LOA,Resolved,2015-10-05,2016-06-07
2017-20610,Change of Plan of Study,Resolved,2014-01-17,2017-03-17
2017-20117,Change of Adviser,Resolved,2014-08-21,2016-04-30
2017-20342,Change of Plan of Study,Unresolved,2014-06-01,2016-04-24
2017-20833,LOA,Lapsed,2014-09-21,2017-07-09
2017-20214,Change of Adviser,Lapsed,2014-03-14,2017-09-12
2017-20926,Completion,Lapsed,2015-03-03,2016-10-20
2017-20987,LOA,Lapsed,2015-09-01,2017-07-05
2017-20771,Residency,Lapsed,2015-09-28,2016-12-01
2017-20370,Residency,Unresolved,2014-02-19,2017-09-02
2017-20909,AWOL,Lapsed,2014-09-04,2016-12-07
2017-20612,Residency,Lapsed,2015-03-31,2017-03-04
2017-20147,Change of Plan of Study,Resolved,2015-03-22,2017-07-13
2017-20997,Change of Plan of Study,Resolved,2015-10-07,2016-12-27
2017-20580,Completion,Lapsed,2015-05-04,2017-07-19
2017-20848,LOA,Resolved,2014-12-09,2017-07-23
2017-20791,AWOL,Lapsed,2015-05-23,2017-06-06
2017-20655,Residency,Lapsed,2014-07-10,2017-01-19
2017-20699,LOA,Lapsed,2015-10-27,2016-05-01
2017-20660,Change of Adviser,Resolved,2015-07-24,2016-07-05
2017-20300,Change of Plan of Study,Lapsed,2014-12-23,2017-03-04
2017-20939,Completion,Unresolved,2014-03-31,2017-01-29
2017-20748,LOA,Resolved,2015-01-10,2017-03-17
2017-20087,Completion,Resolved,2014-02-01,2017-01-17
2017-20875,LOA,Unresolved,2015-09-21,2017-10-01
2017-20520,Change of Adviser,Resolved,2014-09-10,2016-12-24
2017-20493,Residency,Unresolved,2014-06-07,2016-09-01
2017-20040,Change of Plan of Study,Resolved,2014-12-28,2017-06-11
2017-20774,Change of Plan of Study,Lapsed,2014-02-19,2017-07-15
2017-20291,Change of Plan of Study,Lapsed,2014-06-01,2017-01-13
2017-20661,Change of Plan of Study,Resolved,2014-05-07,2016-09-30
2017-20412,AWOL,Lapsed,2014-09-23,2017-05-19
2017-20053,LOA,Lapsed,2015-07-20,2017-03-07
2017-20424,Residency,Lapsed,2014-12-04,2016-08-29
2017-20726,Change of Adviser,Resolved,2014-06-12,2017-08-02
2017-20046,Change of Adviser,Lapsed,2015-01-26,2017-05-12
2017-20646,LOA,Unresolved,2014-03-13,2016-12-21
2017-20214,Residency,Lapsed,2015-06-01,2016-05-24
2017-20021,Change of Plan of Study,Resolved,2015-06-08,2016-07-24
2017-20488,Residency,Resolved,2014-07-09,2017-01-11
2017-20796,Change of Adviser,Unresolved,2015-11-01,2016-12-12
2017-20854,AWOL,Resolved,2015-10-09,2017-10-26
2017-20372,Change of Plan of Study,Lapsed,2014-05-07,2016-02-19
2017-20458,LOA,Lapsed,2015-11-11,2017-09-27
2017-20101,LOA,Unresolved,2014-10-28,2016-08-10
2017-20771,AWOL,Lapsed,2015-07-18,2016-05-20
2017-20204,Residency,Lapsed,2015-09-25,2017-08-27
2017-20682,LOA,Resolved,2014-05-06,2017-07-30
2017-20834,Change of Adviser,Unresolved,2014-01-17,2016-05-19
2017-20374,Change of Plan of Study,Unresolved,2015-04-17,2016-06-08
2017-20894,Change of Plan of Study,Unresolved,2015-09-14,2016-08-27
2017-20427,LOA,Resolved,2015-08-04,2017-05-23
2017-20041,AWOL,Unresolved,2014-09-26,2017-06-06
2017-20422,AWOL,Unresolved,2015-11-05,2016-08-04
2017-20776,AWOL,Resolved,2015-08-26,2017-01-04
2017-20157,Completion,Resolved,2014-06-28,2016-05-26
2017-20875,Change of Plan of Study,Resolved,2015-03-30,2016-07-21
2017-20388,AWOL,Resolved,2014-03-04,2016-06-04
2017-20122,Change of Adviser,Resolved,2015-08-18,2016-04-13
2017-20731,Residency,Lapsed,2014-09-08,2017-08-31
2017-20654,Completion,Resolved,2015-07-06,2017-05-29
2017-20115,Completion,Resolved,2014-12-29,2017-02-08
2017-20432,Change of Plan of Study,Lapsed,2015-09-13,2016-04-18
2017-20664,AWOL,Unresolved,2014-04-03,2016-04-15
2017-20212,Residency,Resolved,2015-06-01,2016-07-30
2017-20251,Residency,Lapsed,2015-08-10,2017-04-27
2017-20298,Change of Adviser,Resolved,2015-07-19,2016-01-10
2017-20970,Completion,Resolved,2014-04-01,2017-10-19
2017-20375,AWOL,Unresolved,2015-02-11,2017-03-17
2017-20665,Residency,Resolved,2015-06-16,2016-02-09
2017-20063,Residency,Lapsed,2015-05-26,2016-06-04
2017-20200,LOA,Resolved,2015-02-18,2016-07-11
2017-20966,Change of Plan of Study,Unresolved,2014-10-13,2016-09-04
2017-20595,Change of Adviser,Lapsed,2015-04-29,2016-08-07
2017-20894,LOA,Unresolved,2015-07-05,2016-07-02
2017-20158,LOA,Unresolved,2015-09-06,2016-11-04
2017-20213,Residency,Resolved,2015-04-01,2016-02-12
2017-20645,Completion,Resolved,2015-07-08,2017-07-10
2017-20435,LOA,Resolved,2015-03-25,2017-10-05
2017-20632,LOA,Unresolved,2015-02-03,2016-05-28
2017-20077,LOA,Unresolved,2015-07-11,2017-08-21
2017-20137,Completion,Unresolved,2015-10-04,2017-03-29
2017-20885,Completion,Resolved,2015-08-07,2016-03-21
2017-20439,AWOL,Unresolved,2015-08-31,2017-08-21
2017-20042,AWOL,Lapsed,2015-07-05,2017-02-28
2017-20244,Completion,Resolved,2015-08-21,2016-10-29
2017-20033,Residency,Lapsed,2014-08-19,2016-11-22
